job_role,education_level,experience_years,skills,certifications,salary_range,location,target
Database Admin,PhD,11,"Cloud, Python, R, Excel",Yes,Low,UK,1
Cybersecurity Analyst,Bachelors,9,"JS, Cloud, CSS",No,Low,Germany,0
AI Engineer,Bachelors,12,"Networking, SQL, Excel, Security",Yes,High,Germany,1
Cloud Engineer,Masters,4,"ML, Python",Yes,Low,Germany,1
Cybersecurity Analyst,Masters,3,"R, Excel, Security, JS",No,High,Germany,0
Data Scientist,Bachelors,12,"Excel, Security, Cloud",Yes,Medium,UK,1
Data Scientist,Bachelors,0,"DL, Excel, Networking, SQL",No,High,UK,0
DevOps Engineer,Bachelors,5,"DL, Cloud, JS",Yes,Medium,UK,1
ML Engineer,Masters,1,"Cloud, Security, CSS",No,High,USA,0
Research Scientist,Bachelors,11,"Networking, CSS",Yes,Low,Canada,1
Data Scientist,Masters,12,"Security, JS, SQL",Yes,Medium,USA,1
Cybersecurity Analyst,Bachelors,6,"Security, Python, HTML",Yes,High,UK,1
Cloud Engineer,Masters,12,"Cloud, ML, Excel",Yes,High,USA,1
Research Scientist,PhD,4,"DL, SQL, Python",No,Medium,UK,1
Business Analyst,PhD,10,"SQL, Security, HTML",No,Low,UK,1
Business Analyst,Masters,10,"JS, Cloud, Networking, ML",Yes,High,Remote,1
ML Engineer,PhD,1,"JS, SQL, CSS, Networking",Yes,High,USA,1
Database Admin,Bootcamp,6,"HTML, Security",No,Low,India,1
Cloud Engineer,Masters,4,"DL, Python, Cloud, JS",No,High,Germany,1
Cybersecurity Analyst,PhD,3,"CSS, Python, SQL",Yes,Low,India,1
DevOps Engineer,Bachelors,2,"Excel, Networking, ML",Yes,Low,Germany,1
DevOps Engineer,Bachelors,4,"SQL, Networking, JS",Yes,High,UK,0
Research Scientist,Bootcamp,14,"Cloud, Python, R, HTML",No,Medium,Germany,1
Cloud Engineer,Masters,6,"R, JS, Excel, Security",Yes,High,India,1
ML Engineer,Bootcamp,3,"Python, ML, HTML, Security",Yes,High,Remote,1
Database Admin,Bachelors,11,"Security, Excel, Cloud",No,High,Remote,0
Data Scientist,Bachelors,6,"SQL, HTML",Yes,High,Remote,1
Cloud Engineer,Bootcamp,2,"HTML, Cloud, Security",Yes,High,Germany,1
Business Analyst,Bachelors,2,"Python, Security, Networking, R",No,Medium,Canada,0
Data Scientist,Bootcamp,13,"R, JS, ML, Excel",No,High,Canada,1
Data Scientist,Bachelors,13,"DL, HTML, CSS, Python",No,High,UK,1
Database Admin,Bootcamp,8,"Networking, DL, HTML, R",No,Medium,India,1
DevOps Engineer,Bachelors,13,"Networking, JS",No,Low,Canada,0
ML Engineer,PhD,9,"Excel, JS, SQL, Python",Yes,Low,India,1
Business Analyst,PhD,12,"Excel, CSS, Networking",No,Low,India,1
AI Engineer,Masters,11,"JS, Excel",Yes,Medium,India,1
Business Analyst,Masters,0,"Networking, Excel, R",No,High,Remote,0
ML Engineer,Bootcamp,7,"SQL, Cloud",Yes,Medium,USA,1
Web Developer,Bachelors,1,"JS, Excel",Yes,Low,UK,0
AI Engineer,PhD,4,"DL, JS",No,Low,USA,1
DevOps Engineer,Masters,7,"SQL, HTML, Excel, CSS",Yes,Medium,Germany,1
Business Analyst,PhD,6,"HTML, Python, CSS",No,Low,UK,1
ML Engineer,Masters,4,"Cloud, Security, R",No,High,Remote,0
Business Analyst,Bachelors,10,"Excel, SQL, JS, Cloud",Yes,Medium,Canada,1
Database Admin,Masters,2,"Networking, Python, ML, Cloud",No,Medium,UK,1
DevOps Engineer,Masters,13,"Python, CSS",No,Low,UK,1
ML Engineer,Bootcamp,5,"CSS, HTML",Yes,High,USA,1
DevOps Engineer,Bachelors,2,"Cloud, Networking",No,Low,India,0
DevOps Engineer,PhD,10,"ML, DL, Networking",Yes,Medium,USA,1
Data Scientist,Bachelors,3,"DL, Python",No,Medium,India,0
Data Scientist,PhD,7,"DL, Networking, HTML",No,High,Remote,1
Data Scientist,Bachelors,10,"Python, Security, CSS",No,Medium,Germany,0
DevOps Engineer,Bootcamp,10,"CSS, Security, JS, DL",No,Low,USA,1
Web Developer,PhD,10,"Networking, CSS, HTML",No,Low,India,1
Cybersecurity Analyst,Bootcamp,7,"DL, Networking, JS",Yes,Medium,USA,1
DevOps Engineer,PhD,4,"DL, Networking",Yes,Low,India,1
Data Scientist,Bootcamp,13,"DL, ML, R",Yes,High,UK,1
Cloud Engineer,Bachelors,9,"R, DL, SQL",Yes,Medium,Germany,1
Data Scientist,Bootcamp,10,"Excel, ML, JS, DL",Yes,High,India,1
DevOps Engineer,Masters,7,"Excel, Cloud, Security, CSS",No,Medium,USA,1
Cloud Engineer,Bachelors,1,"DL, R, CSS, Security",No,Medium,Remote,0
Cybersecurity Analyst,Masters,14,"JS, Excel",No,Medium,USA,1
AI Engineer,Bachelors,12,"Excel, ML, Cloud, Security",Yes,Medium,USA,1
Web Developer,Bachelors,11,"Python, ML, JS, R",No,Low,Germany,1
AI Engineer,Masters,14,"DL, ML, JS",No,Medium,Canada,1
Research Scientist,Bachelors,8,"DL, Cloud",No,Low,UK,1
ML Engineer,Bootcamp,0,"CSS, Security, DL, R",Yes,High,Remote,1
Research Scientist,Masters,1,"JS, SQL",Yes,Low,USA,1
DevOps Engineer,Bootcamp,0,"CSS, Python, SQL",Yes,High,USA,1
Cloud Engineer,Masters,11,"DL, HTML, Networking, JS",No,High,India,1
Research Scientist,Bootcamp,10,"Python, CSS",Yes,Medium,Remote,1
Web Developer,PhD,0,"SQL, JS, Python",No,Low,UK,0
AI Engineer,Bachelors,12,"Security, Python, Networking",Yes,High,UK,1
DevOps Engineer,PhD,12,"Networking, CSS",Yes,High,Remote,1
Cybersecurity Analyst,PhD,11,"ML, R",Yes,Medium,Canada,1
Research Scientist,Masters,2,"Python, Networking, Security",No,Medium,India,0
Web Developer,Masters,9,"Cloud, DL, R, CSS",No,Low,India,1
AI Engineer,PhD,7,"Python, JS, R, Security",No,Medium,Germany,1
AI Engineer,PhD,10,"CSS, Networking, Excel",No,Low,UK,1
Research Scientist,Bachelors,7,"R, Cloud",No,High,Canada,0
Web Developer,Bootcamp,2,"CSS, ML, JS, R",No,High,India,0
ML Engineer,Bootcamp,11,"Python, SQL, Excel, Security",Yes,Medium,UK,1
Cloud Engineer,PhD,3,"Cloud, DL",Yes,Low,India,1
DevOps Engineer,Bootcamp,12,"Security, ML, Cloud, Python",Yes,Medium,India,1
Cloud Engineer,Masters,4,"ML, Networking, Security, SQL",No,Medium,Remote,1
Web Developer,Bootcamp,4,"SQL, Networking, Cloud",Yes,Low,India,0
Data Scientist,PhD,9,"SQL, Excel",No,Medium,UK,1
Cloud Engineer,Bachelors,13,"Python, ML, HTML",No,Low,Remote,1
ML Engineer,Masters,1,"Cloud, Python, CSS, HTML",Yes,High,Canada,1
Research Scientist,Bootcamp,0,"ML, Excel",No,Low,Germany,0
AI Engineer,Bachelors,8,"Networking, Python, JS",Yes,Medium,Remote,1
Cybersecurity Analyst,Bachelors,11,"Excel, CSS, JS, HTML",No,Medium,USA,1
ML Engineer,Masters,4,"HTML, ML, JS",No,Low,Germany,1
Database Admin,Bootcamp,7,"Python, Excel, Cloud, Security",Yes,Low,USA,1
Data Scientist,PhD,14,"JS, SQL",Yes,Medium,India,1
Cybersecurity Analyst,PhD,12,"Networking, R, CSS",Yes,High,UK,1
Research Scientist,Bachelors,3,"Networking, JS",No,Medium,Germany,0
Data Scientist,PhD,3,"HTML, Python, ML",Yes,High,USA,1
Web Developer,Bachelors,2,"R, Cloud, ML, SQL",No,Low,India,0
ML Engineer,Bachelors,6,"Excel, DL, R, HTML",Yes,Low,Canada,1
Cloud Engineer,Masters,12,"Cloud, Security",Yes,Medium,Canada,1
Cloud Engineer,Masters,9,"SQL, DL, Excel",Yes,High,Germany,1
AI Engineer,Bootcamp,5,"Python, SQL, JS",No,Low,Germany,0
AI Engineer,Bachelors,3,"CSS, Cloud, R",Yes,High,India,0
Database Admin,Bootcamp,2,"Python, R, DL, JS",Yes,High,India,1
Business Analyst,Masters,6,"Networking, DL, Python",Yes,Medium,India,1
Cloud Engineer,Bootcamp,10,"CSS, Python, Security, Excel",Yes,Low,Germany,1
AI Engineer,PhD,2,"Python, CSS, Excel, HTML",Yes,High,UK,1
DevOps Engineer,Bachelors,0,"R, ML, Networking",Yes,High,UK,1
ML Engineer,Bootcamp,9,"R, Security",Yes,Medium,Germany,1
Cybersecurity Analyst,PhD,11,"DL, CSS, Python, SQL",No,Low,Germany,1
Research Scientist,Masters,7,"Cloud, SQL, JS, R",No,Low,Germany,1
Research Scientist,Bootcamp,14,"Python, Networking, Excel",Yes,High,Remote,1
Research Scientist,Bachelors,5,"Python, DL, Security",Yes,Low,Germany,1
Database Admin,PhD,5,"Python, Networking, CSS",No,High,Canada,1
ML Engineer,Bachelors,0,"Excel, JS, CSS",Yes,Low,UK,0
Database Admin,Bachelors,3,"ML, Python, JS, Networking",No,High,Remote,1
Database Admin,Bachelors,13,"SQL, ML",No,High,Canada,1
Database Admin,Bootcamp,7,"ML, Networking, Cloud, JS",No,Medium,Germany,1
ML Engineer,Bootcamp,3,"Excel, R",Yes,Low,USA,0
Cloud Engineer,Bachelors,10,"Networking, DL, JS",Yes,High,India,1
AI Engineer,Bachelors,3,"ML, Networking",No,High,UK,0
Web Developer,Bootcamp,14,"Excel, ML, R",Yes,Medium,Remote,1
Cybersecurity Analyst,Bachelors,14,"DL, HTML",No,Medium,India,1
ML Engineer,Masters,0,"DL, ML",No,Medium,UK,1
Cybersecurity Analyst,PhD,3,"CSS, Excel",No,Medium,India,0
Cybersecurity Analyst,Bachelors,1,"Networking, DL, SQL, Cloud",Yes,High,Remote,1
Database Admin,Masters,1,"Networking, ML",Yes,Medium,Germany,1
DevOps Engineer,Bootcamp,6,"Security, ML",No,Low,India,1
ML Engineer,Masters,13,"SQL, Networking, CSS",No,Medium,UK,1
Research Scientist,Bachelors,3,"Security, ML, SQL",No,Medium,Remote,0
Database Admin,PhD,14,"Python, Networking, Excel, CSS",No,Low,Germany,1
Business Analyst,Bootcamp,8,"HTML, SQL, JS, DL",No,High,UK,1
DevOps Engineer,Bootcamp,2,"Excel, Security, Networking",No,Medium,USA,0
DevOps Engineer,Bachelors,0,"Networking, JS, Excel",Yes,Low,UK,0
Cybersecurity Analyst,Masters,0,"Networking, HTML",No,High,USA,1
Web Developer,Bootcamp,2,"HTML, Security, CSS",No,Medium,India,0
Cybersecurity Analyst,PhD,6,"JS, R, DL, HTML",No,Low,Remote,1
Web Developer,Masters,10,"DL, R",Yes,Low,USA,1
Database Admin,Bachelors,13,"Networking, Cloud, CSS",Yes,High,India,1
Database Admin,Masters,6,"ML, HTML",Yes,Low,Germany,1
Data Scientist,PhD,1,"Python, Excel, ML",Yes,Medium,USA,1
Database Admin,Bachelors,10,"Cloud, Python",Yes,Low,UK,1
Cloud Engineer,PhD,7,"ML, Python, R, Security",Yes,High,Remote,1
Business Analyst,Bachelors,1,"Cloud, Security",No,Low,Germany,0
Data Scientist,PhD,6,"Excel, HTML, CSS",No,High,UK,1
DevOps Engineer,Bachelors,7,"Security, HTML, JS, Excel",No,Low,Germany,1
Research Scientist,PhD,14,"CSS, JS, Cloud, Excel",Yes,Low,UK,1
Research Scientist,Masters,12,"R, SQL, CSS",Yes,Medium,UK,1
AI Engineer,Masters,7,"Security, CSS, HTML",No,Low,USA,1
Research Scientist,Masters,13,"Networking, R, ML",No,Medium,India,1
ML Engineer,PhD,8,"HTML, SQL, JS, Cloud",No,High,USA,1
Business Analyst,PhD,1,"R, JS",No,High,Germany,0
Web Developer,Bootcamp,6,"Security, DL",Yes,Low,Germany,1
ML Engineer,Bachelors,3,"Cloud, SQL",Yes,Low,Germany,0
DevOps Engineer,PhD,13,"Excel, JS, CSS",Yes,Low,USA,1
AI Engineer,Bootcamp,7,"Cloud, SQL, Security, Excel",No,Medium,Germany,0
DevOps Engineer,PhD,7,"Networking, HTML, JS, Cloud",No,Low,Remote,1
Research Scientist,Bootcamp,9,"Networking, R",Yes,Low,USA,1
Research Scientist,Bachelors,5,"DL, ML, Python, JS",No,Low,Remote,0
Business Analyst,PhD,4,"Networking, Cloud",No,High,Germany,0
AI Engineer,Bootcamp,12,"Networking, Python, DL",Yes,Low,UK,1
DevOps Engineer,Masters,11,"Cloud, R, Networking",Yes,Low,USA,1
Research Scientist,Bachelors,10,"HTML, R",Yes,Low,India,1
DevOps Engineer,Bootcamp,3,"Cloud, Security",No,High,USA,0
Database Admin,Bootcamp,1,"Networking, Python, Cloud, CSS",Yes,High,UK,1
Business Analyst,Bachelors,14,"CSS, Excel",Yes,Medium,Remote,1
Cybersecurity Analyst,PhD,5,"R, ML",Yes,High,USA,1
Cloud Engineer,Bootcamp,11,"Networking, CSS, Python",No,Low,Canada,0
Cloud Engineer,Bootcamp,2,"Excel, R",No,Medium,Canada,0
AI Engineer,Bachelors,8,"JS, Excel",No,High,Remote,0
AI Engineer,Masters,2,"Networking, JS",Yes,Low,Germany,1
Database Admin,Bootcamp,6,"JS, ML, DL",Yes,Medium,India,1
Research Scientist,Masters,11,"JS, ML, CSS, R",Yes,Medium,Remote,1
Database Admin,PhD,5,"Excel, DL, Networking, CSS",Yes,High,India,1
Business Analyst,Bachelors,7,"Excel, SQL, R, Networking",Yes,High,USA,1
Data Scientist,Masters,0,"Networking, JS, Excel, R",No,High,India,0
DevOps Engineer,Bachelors,0,"SQL, Networking, JS",No,High,Germany,0
AI Engineer,Masters,7,"HTML, DL, Networking",Yes,Medium,Germany,1
AI Engineer,PhD,8,"SQL, Python, CSS",No,Medium,Canada,1
DevOps Engineer,Bootcamp,2,"CSS, JS",Yes,High,India,0
Business Analyst,Bachelors,8,"DL, Python",No,High,USA,1
Web Developer,Bachelors,5,"ML, Python, Excel",No,High,Remote,1
Cloud Engineer,Bootcamp,14,"CSS, ML, Excel, Cloud",No,Low,USA,1
Web Developer,Masters,4,"SQL, Security, CSS, ML",No,High,Canada,1
ML Engineer,Bachelors,1,"SQL, Networking, HTML, DL",No,Low,Canada,0
Research Scientist,PhD,9,"Cloud, JS, HTML, R",Yes,Low,USA,1
Cloud Engineer,PhD,7,"CSS, Python, JS",No,Medium,Remote,1
Database Admin,Bootcamp,7,"R, ML, Cloud",Yes,Low,UK,1
Research Scientist,Bootcamp,2,"Excel, ML, Networking, JS",No,Low,Remote,0
Business Analyst,Masters,9,"JS, Python",Yes,High,Remote,1
Research Scientist,PhD,6,"Cloud, JS, R",No,Medium,USA,1
Web Developer,Bachelors,7,"R, CSS, Security, JS",Yes,High,USA,1
Data Scientist,PhD,3,"HTML, CSS, Cloud, JS",Yes,Medium,Germany,1
Cybersecurity Analyst,Bachelors,2,"DL, CSS, JS, Cloud",No,High,USA,0
Research Scientist,Bootcamp,3,"ML, SQL, CSS, HTML",No,Medium,Canada,0
Data Scientist,PhD,8,"Networking, ML",No,Low,USA,1
AI Engineer,PhD,12,"DL, Python, Security",Yes,Medium,USA,1
Business Analyst,PhD,4,"Excel, Cloud",No,Low,Remote,0
Research Scientist,PhD,3,"CSS, HTML, DL",No,High,Canada,1
Web Developer,PhD,7,"Cloud, SQL",No,Low,UK,1
Data Scientist,Bootcamp,10,"Python, Excel",Yes,Low,UK,1
Web Developer,Masters,4,"HTML, R",Yes,High,Germany,1
ML Engineer,Masters,10,"DL, HTML, Cloud, Networking",No,Low,Germany,1
ML Engineer,PhD,6,"CSS, Cloud, Networking, SQL",Yes,High,UK,1
Cloud Engineer,Masters,1,"SQL, JS, Security, DL",Yes,Low,Canada,1
Research Scientist,Masters,10,"Cloud, SQL, DL, Networking",No,High,Germany,1
Business Analyst,Masters,7,"Excel, SQL, DL, JS",No,High,UK,1
DevOps Engineer,Masters,9,"Security, JS",Yes,Medium,Canada,1
DevOps Engineer,Bachelors,3,"DL, R",No,High,USA,0
Business Analyst,Bootcamp,7,"Python, DL, HTML, R",No,Low,Canada,1
Data Scientist,Bootcamp,6,"Python, ML, Security, R",No,Low,Remote,1
Business Analyst,PhD,7,"HTML, Python",Yes,Medium,UK,1
Web Developer,Bachelors,4,"SQL, CSS, JS, HTML",No,High,USA,0
Cybersecurity Analyst,PhD,0,"R, SQL, Networking",No,Medium,India,0
DevOps Engineer,Bachelors,14,"Cloud, Excel, Security, DL",Yes,High,USA,1
Database Admin,Bachelors,1,"JS, DL, R",Yes,High,UK,1
Cybersecurity Analyst,Bachelors,12,"HTML, DL, Security",Yes,Low,USA,1
Business Analyst,Bachelors,6,"ML, Security",Yes,Low,USA,1
Cloud Engineer,Bachelors,5,"HTML, SQL",Yes,High,India,1
AI Engineer,Bachelors,4,"R, Security",Yes,Low,Canada,0
Database Admin,Bachelors,12,"Python, JS, DL",No,High,Canada,1
Data Scientist,Bootcamp,14,"Security, HTML, JS, CSS",No,Medium,India,1
Cybersecurity Analyst,Bachelors,9,"Networking, Python, HTML, JS",No,High,Canada,1
Cloud Engineer,Bootcamp,4,"R, HTML",No,Low,India,0
Web Developer,PhD,12,"ML, HTML, Cloud",Yes,Medium,Germany,1
Database Admin,PhD,4,"HTML, Python",Yes,Medium,Germany,1
DevOps Engineer,Masters,1,"ML, R",No,Medium,Germany,1
Research Scientist,PhD,0,"HTML, Cloud, JS, CSS",No,High,Remote,1
Business Analyst,Masters,1,"Python, SQL",No,Medium,Germany,0
AI Engineer,Masters,0,"Excel, Security",Yes,Low,USA,1
Cybersecurity Analyst,Bachelors,4,"R, SQL, Networking, CSS",No,Medium,USA,0
ML Engineer,Bachelors,14,"SQL, ML, Python, Networking",Yes,Low,USA,1
Cloud Engineer,Bootcamp,2,"HTML, JS, CSS",No,Low,Germany,0
Web Developer,PhD,11,"Excel, DL",Yes,Low,UK,1
Cloud Engineer,Masters,11,"DL, HTML, Python, Excel",Yes,High,India,1
Cloud Engineer,Bootcamp,12,"Excel, DL, Networking",Yes,Medium,Germany,1
Cybersecurity Analyst,Bootcamp,7,"SQL, Python",Yes,High,UK,1
DevOps Engineer,Bachelors,8,"HTML, ML, SQL, Python",No,Medium,Canada,1
AI Engineer,Bachelors,6,"CSS, Excel, HTML",No,Medium,India,1
ML Engineer,PhD,12,"Excel, JS, Security, Python",No,Low,Germany,1
Business Analyst,PhD,11,"DL, Security, Excel, Networking",Yes,High,Canada,1
Database Admin,Bootcamp,3,"DL, Python, ML, HTML",No,Low,Germany,0
DevOps Engineer,Bootcamp,5,"R, CSS",No,Low,Remote,0
Cybersecurity Analyst,Masters,14,"Security, Excel",No,Medium,Canada,1
DevOps Engineer,Masters,3,"R, Python, DL",No,Low,UK,1
Research Scientist,PhD,4,"Excel, R, ML, SQL",No,Low,India,1
AI Engineer,PhD,12,"Excel, Networking",No,Medium,Germany,1
Data Scientist,PhD,1,"Security, ML, Python",No,High,Canada,1
Database Admin,Masters,4,"Excel, Cloud",No,High,UK,0
Cybersecurity Analyst,Masters,7,"Networking, Excel",Yes,Medium,India,1
AI Engineer,Masters,11,"Cloud, JS, R",No,Low,UK,1
Cybersecurity Analyst,Masters,1,"JS, Python",No,High,USA,1
ML Engineer,Bootcamp,1,"Networking, ML, Excel, SQL",No,Medium,UK,0
ML Engineer,Bachelors,7,"Python, SQL, Security",Yes,Medium,Germany,1
Cloud Engineer,Bachelors,5,"JS, Security, Cloud",No,Medium,Germany,0
Business Analyst,Bootcamp,10,"DL, Cloud, R, CSS",Yes,High,Canada,1
Cloud Engineer,Bootcamp,10,"R, Excel",No,Medium,India,0
ML Engineer,PhD,3,"ML, Networking",Yes,Low,UK,1
Cybersecurity Analyst,PhD,6,"DL, Excel",No,Low,UK,1
Database Admin,Bachelors,12,"Cloud, Excel",Yes,High,Germany,1
AI Engineer,Bootcamp,10,"CSS, Python, Networking",Yes,Low,Canada,1
Cybersecurity Analyst,Bootcamp,3,"SQL, Excel, ML, Security",No,Low,UK,0
Database Admin,Bachelors,11,"HTML, Python, Security, Cloud",No,Low,Remote,1
ML Engineer,Bootcamp,4,"DL, JS",No,Low,Canada,0
ML Engineer,Bootcamp,9,"Python, Security, Networking",Yes,Medium,Germany,1
Web Developer,Bootcamp,11,"Python, Security, Excel",Yes,Medium,Canada,1
AI Engineer,Bootcamp,13,"Cloud, SQL, R, ML",Yes,Low,Germany,1
Cybersecurity Analyst,Bachelors,9,"R, Security, Cloud, Networking",Yes,High,Canada,1
Cloud Engineer,PhD,4,"HTML, DL, SQL",Yes,Medium,Germany,1
Cybersecurity Analyst,Bootcamp,4,"Security, R",Yes,High,Canada,0
Cloud Engineer,Bootcamp,10,"Excel, HTML, CSS",Yes,Low,India,1
Cybersecurity Analyst,Bootcamp,10,"JS, R",No,High,India,0
Data Scientist,PhD,9,"ML, Cloud",Yes,Low,USA,1
Database Admin,PhD,0,"SQL, Python, HTML",Yes,Medium,UK,1
Business Analyst,Bachelors,11,"Python, ML, Security",Yes,High,USA,1
ML Engineer,Bootcamp,9,"CSS, Cloud, HTML, SQL",No,Medium,Germany,1
Web Developer,Bachelors,6,"JS, SQL",Yes,Medium,UK,1
Cybersecurity Analyst,PhD,9,"HTML, R",No,High,Germany,1
Web Developer,PhD,12,"ML, Excel",Yes,Low,UK,1
Web Developer,Bootcamp,8,"Security, HTML",No,Low,USA,1
AI Engineer,Bootcamp,5,"CSS, Excel, JS, Cloud",Yes,High,Remote,0
Cybersecurity Analyst,PhD,3,"Excel, ML, Networking",No,Low,UK,1
DevOps Engineer,Masters,13,"SQL, R, Excel",No,High,UK,1
Web Developer,Bachelors,6,"CSS, Cloud, Excel, Security",No,Low,India,0
Cybersecurity Analyst,Bachelors,14,"Cloud, Security, HTML",Yes,Low,India,1
Database Admin,Bachelors,10,"Networking, Excel",Yes,High,India,1
Business Analyst,Masters,14,"HTML, DL, CSS",Yes,Low,Canada,1
Database Admin,PhD,1,"Cloud, ML",Yes,Medium,Germany,1
Cybersecurity Analyst,Masters,2,"SQL, Networking, R, CSS",No,Medium,Remote,0
Data Scientist,Bachelors,3,"SQL, DL",Yes,Low,Remote,1
Business Analyst,Masters,11,"R, HTML, DL",No,High,USA,1
Database Admin,Bachelors,5,"JS, HTML, SQL, ML",No,High,Remote,0
Business Analyst,Bootcamp,14,"Cloud, HTML, Excel, JS",No,High,Germany,1
Web Developer,Bootcamp,7,"CSS, Excel, DL, Cloud",No,Low,Canada,1
Research Scientist,Bachelors,2,"CSS, SQL, R",No,Medium,UK,0
Cybersecurity Analyst,PhD,5,"DL, JS, HTML",No,Low,India,1
AI Engineer,Bachelors,1,"R, SQL",No,Medium,USA,0
DevOps Engineer,Masters,13,"Excel, Security",No,Low,Canada,1
AI Engineer,PhD,1,"ML, Security, JS, Networking",No,Medium,UK,1
Cloud Engineer,PhD,11,"JS, R, Networking, Security",Yes,Medium,Germany,1
Cybersecurity Analyst,Bootcamp,14,"DL, HTML",No,Low,USA,1
Web Developer,Bootcamp,9,"DL, Excel, Security",Yes,Medium,Canada,1
AI Engineer,Bootcamp,8,"Security, DL",No,Medium,Remote,1
Business Analyst,PhD,4,"CSS, ML",No,Medium,USA,1
Web Developer,Masters,4,"Excel, DL, Networking, Security",No,Medium,USA,1
Database Admin,Masters,7,"Security, R, Python",Yes,High,Germany,1
Research Scientist,Masters,7,"SQL, Python",No,Medium,UK,1
Database Admin,Masters,14,"DL, SQL",No,Medium,Canada,1
Data Scientist,Masters,6,"Security, ML",No,Medium,Germany,1
Business Analyst,Bootcamp,5,"JS, Security",No,Medium,Germany,0
Cloud Engineer,Masters,0,"R, SQL, Excel",No,Low,USA,0
Research Scientist,PhD,13,"DL, ML",Yes,Medium,Germany,1
Cybersecurity Analyst,PhD,5,"Excel, Cloud, CSS",No,High,Germany,0
DevOps Engineer,Masters,11,"Python, Security, HTML, DL",Yes,Low,Germany,1
ML Engineer,PhD,9,"ML, Networking, Cloud",No,High,Remote,1
AI Engineer,PhD,0,"Networking, Security",No,High,Remote,0
ML Engineer,Masters,14,"Security, DL",Yes,Medium,India,1
Business Analyst,Masters,1,"Security, HTML, R",Yes,Medium,India,1
Cloud Engineer,Bachelors,11,"Excel, DL, Security",Yes,Medium,India,1
Web Developer,Bootcamp,12,"Excel, JS, R",No,High,India,0
ML Engineer,PhD,1,"Networking, Security, ML, SQL",No,Medium,Canada,1
Database Admin,PhD,14,"SQL, Python, Excel, HTML",Yes,Low,Canada,1
ML Engineer,Bachelors,8,"HTML, R, Excel",No,High,Remote,1
DevOps Engineer,PhD,13,"Python, DL, Security",No,Low,Germany,1
Data Scientist,PhD,11,"DL, ML, Python, JS",Yes,Low,Remote,1
Cloud Engineer,PhD,13,"Networking, Excel, Python",Yes,Medium,USA,1
DevOps Engineer,Masters,5,"HTML, JS, CSS",Yes,High,UK,1
Research Scientist,PhD,13,"Security, Excel",No,Low,India,1
ML Engineer,Masters,13,"R, ML",No,High,Remote,1
Cloud Engineer,Bootcamp,9,"Excel, Cloud",Yes,High,Canada,1
Research Scientist,Bachelors,1,"Security, Networking, JS",Yes,High,Canada,0
Data Scientist,Bootcamp,9,"R, CSS, JS",No,Low,UK,0
ML Engineer,PhD,14,"JS, SQL, Networking",No,Low,Remote,1
ML Engineer,Bootcamp,3,"DL, Excel",No,Medium,USA,0
DevOps Engineer,PhD,6,"CSS, Python, HTML, DL",No,High,Canada,1
Data Scientist,Masters,13,"JS, ML",Yes,Medium,Germany,1
DevOps Engineer,Bachelors,11,"HTML, Networking",Yes,Low,Remote,1
Database Admin,PhD,2,"R, Cloud",No,Low,USA,0
DevOps Engineer,Masters,5,"SQL, DL, R",No,Medium,Canada,1
ML Engineer,Bootcamp,9,"Excel, Cloud, ML",Yes,Medium,UK,1
Cloud Engineer,Bootcamp,5,"DL, CSS, ML, JS",No,High,India,0
AI Engineer,Bachelors,13,"SQL, Security, JS",No,Low,Germany,0
Cloud Engineer,PhD,7,"ML, JS, CSS, HTML",No,Medium,India,1
DevOps Engineer,Masters,6,"DL, Cloud, Networking, ML",No,Low,USA,1
ML Engineer,Bootcamp,7,"CSS, ML",No,Medium,USA,1
Research Scientist,Bachelors,0,"HTML, Cloud, ML",Yes,Low,Remote,1
Research Scientist,Masters,5,"JS, CSS, HTML",Yes,Medium,Germany,1
Cloud Engineer,PhD,8,"Networking, HTML, DL",No,High,UK,1
Web Developer,Bachelors,3,"Python, JS, Security",Yes,Low,Remote,0
AI Engineer,PhD,11,"SQL, Security",Yes,High,India,1
Business Analyst,PhD,11,"Cloud, JS, Security, ML",No,Medium,UK,1
Database Admin,Bootcamp,0,"SQL, ML, JS",Yes,Low,Germany,1
Business Analyst,Bootcamp,8,"CSS, Python, ML, Cloud",Yes,Medium,Canada,1
Web Developer,Masters,14,"Python, Excel, JS, DL",Yes,High,UK,1
Business Analyst,Bootcamp,10,"CSS, SQL, Security, ML",Yes,Medium,India,1
Cloud Engineer,Bachelors,2,"HTML, Cloud, JS",Yes,High,Canada,1
Cloud Engineer,Bachelors,1,"R, Cloud",No,Low,Remote,0
ML Engineer,Masters,3,"Python, CSS, HTML",No,Low,USA,1
Web Developer,Masters,2,"ML, Excel, Networking",Yes,High,Remote,1
Database Admin,Bootcamp,0,"CSS, SQL, ML, Excel",Yes,High,Canada,1
AI Engineer,Bootcamp,9,"CSS, Cloud, HTML",No,Medium,USA,1
Data Scientist,Bachelors,8,"SQL, ML, Python, R",Yes,Low,Remote,1
DevOps Engineer,PhD,4,"R, DL, Excel, Cloud",No,High,Germany,1
Cloud Engineer,Masters,2,"DL, Excel, JS",No,Low,USA,1
Data Scientist,Bachelors,4,"Python, DL",Yes,Medium,UK,1
ML Engineer,PhD,4,"HTML, R, Security, JS",Yes,High,Remote,1
Data Scientist,Masters,4,"Excel, JS, DL, Networking",Yes,Low,UK,1
Database Admin,Bachelors,8,"R, Security",Yes,Low,UK,1
