Year,Country,CO2_Emissions,Temperature_Anomaly,Sea_Level_Rise_mm,Deforestation_Rate,Renewable_Energy_%,Population_Millions,Urbanization_%,Greenhouse_Gases_ppm,Climate_Risk_Level
2015,USA,6059.36,1.013,3.0,1.03,15.82,723.23,49.49,393.65,High
1988,Russia,2821.53,0.763,2.63,4.18,23.05,92.0,32.95,418.45,High
1981,UK,6480.9,0.928,3.55,4.01,18.33,274.59,58.61,400.2,High
2011,China,6216.38,1.117,-0.0,3.1,15.82,803.69,24.03,400.13,High
2001,USA,3705.61,0.973,3.12,3.4,32.56,942.01,56.64,410.97,Low
2022,UK,5718.68,1.662,3.02,1.07,36.99,1228.59,60.2,454.92,Medium
1992,Canada,6767.19,0.738,2.47,1.39,50.97,822.17,81.87,410.14,High
1987,Pakistan,4126.48,0.494,3.26,3.49,35.62,854.18,37.05,405.27,Low
1980,UK,6848.16,0.75,3.77,0.29,33.69,609.41,52.18,388.38,High
1996,Canada,5253.25,1.467,3.94,2.4,26.08,760.51,58.54,433.87,Medium
1991,UK,3966.12,1.428,3.43,2.42,50.18,845.83,41.53,356.9,Medium
1983,Germany,6238.85,0.906,3.37,1.62,43.51,602.05,36.59,439.53,High
1992,China,3910.52,1.023,5.13,2.15,18.97,400.11,22.51,455.03,Medium
2010,Russia,7078.95,1.32,5.02,4.71,36.54,1234.18,70.11,394.57,High
2020,Russia,3271.62,1.358,2.78,4.42,17.95,662.48,57.08,375.75,High
1986,Russia,6964.07,0.331,4.55,1.16,45.33,746.47,63.32,426.93,High
2002,Canada,5327.05,1.098,2.41,4.82,25.49,380.32,32.34,456.57,High
2003,Russia,6068.48,1.45,3.33,2.75,36.26,126.7,34.42,452.99,High
1984,USA,4409.74,1.131,2.43,0.43,10.82,1383.22,72.97,391.46,Low
1984,India,5587.69,0.44,3.93,2.34,52.95,9.2,73.68,449.02,Medium
1996,China,1205.35,1.656,2.44,1.99,29.78,1308.1,84.87,389.35,Medium
2009,USA,5327.77,1.211,3.37,4.79,10.89,424.27,44.08,389.2,High
1988,Australia,3030.02,0.568,3.52,3.49,13.61,974.41,62.9,451.92,Low
1985,USA,6122.08,0.838,2.46,3.91,50.32,1212.95,43.78,413.25,High
2004,India,4197.77,1.224,3.86,3.38,49.27,656.87,58.5,404.47,Medium
1998,UK,4183.66,0.882,4.93,1.97,16.63,715.14,68.19,432.02,Medium
1995,UK,3253.93,1.413,3.59,0.7,45.85,1379.63,84.07,370.31,Medium
2000,India,5276.07,1.269,3.81,2.36,37.27,1252.78,79.91,415.71,Medium
1981,Brazil,3729.43,1.143,5.02,1.82,47.91,1277.45,67.06,421.49,Medium
1989,Canada,4920.84,0.748,2.66,0.33,23.45,1194.54,21.36,345.83,Low
1995,UK,4509.68,1.104,4.14,1.92,13.57,1294.79,25.07,393.85,Medium
2016,China,3463.11,1.646,3.65,2.76,17.32,855.34,23.0,427.73,Medium
1994,Russia,4417.12,1.201,3.76,2.85,56.72,101.23,79.49,360.58,Medium
1992,UK,4114.2,1.225,3.59,4.98,21.63,878.19,26.74,413.01,High
1992,China,6455.5,0.59,3.03,1.91,57.72,892.1,89.21,407.0,High
2011,Canada,6705.19,0.89,2.98,1.54,33.9,1072.85,41.77,423.5,High
2024,Pakistan,3021.14,1.015,4.05,3.06,32.41,323.7,80.6,393.18,Medium
1987,Pakistan,5290.27,1.027,4.84,3.39,58.44,172.15,62.3,444.39,Medium
2022,Brazil,4579.8,1.307,3.36,0.27,20.38,269.59,80.7,416.54,Medium
1997,USA,3681.24,0.664,4.04,0.2,45.57,881.73,51.91,399.02,Medium
2015,Pakistan,5218.63,1.081,3.95,1.29,16.19,352.01,88.83,398.22,Medium
2005,Russia,5703.58,1.043,4.08,1.08,53.47,1159.62,50.98,420.3,Medium
1989,Pakistan,1007.2,1.419,2.59,4.48,12.11,480.95,30.91,438.79,High
2010,Germany,6507.09,1.078,3.26,4.52,48.53,615.12,66.47,412.76,High
2012,Australia,6066.36,0.84,2.25,3.0,22.51,148.49,25.82,440.4,High
2008,India,4960.53,0.371,3.22,4.45,39.88,640.92,48.39,409.92,High
1984,Brazil,3683.23,0.958,2.56,0.41,52.72,647.83,85.68,367.51,Low
1992,India,5734.14,1.013,3.43,1.67,46.83,25.77,53.32,434.41,Low
1980,Pakistan,4017.66,0.97,1.5,1.36,57.91,1016.25,52.84,458.68,Low
2002,Germany,6904.91,1.387,2.55,0.48,52.66,71.63,70.65,419.88,High
2019,Australia,6346.83,1.208,2.8,2.9,30.79,569.41,80.05,411.66,High
1982,Germany,5029.34,0.848,3.66,2.9,28.73,614.97,39.69,415.36,Low
1982,USA,3792.1,0.832,1.91,2.34,48.11,513.52,64.31,419.66,Low
1986,Russia,5744.34,1.055,3.48,4.53,24.56,556.28,25.41,406.83,High
2015,Pakistan,6188.27,0.677,2.92,2.67,28.23,1243.87,46.86,428.31,High
2014,India,4498.66,0.934,3.43,2.75,52.27,1127.25,50.04,409.86,Low
1994,USA,5617.09,0.999,3.54,0.01,16.69,1047.11,21.44,408.25,Low
2019,India,4279.97,0.781,4.06,2.25,11.1,835.83,77.01,410.66,Medium
1982,China,2386.98,0.931,4.3,0.9,57.66,1362.54,87.33,434.0,Medium
2008,Canada,2505.55,0.747,2.41,2.59,20.82,598.76,57.91,427.22,Low
2009,Pakistan,5234.08,1.763,3.93,3.05,17.36,235.21,77.41,416.16,Medium
2018,Brazil,7284.84,1.508,1.97,3.45,39.42,1144.86,45.56,398.25,High
1997,Canada,3549.24,0.911,3.59,3.4,54.71,684.17,42.33,398.56,Low
1990,India,3792.84,0.697,3.52,1.41,29.75,1058.91,57.47,405.97,Low
2022,UK,5450.54,0.11,3.45,2.62,44.42,235.61,76.64,412.39,Low
2017,Canada,5055.35,0.571,2.35,2.87,41.4,1392.8,49.0,384.4,Low
2019,Canada,5428.44,1.286,3.24,4.23,30.59,874.69,50.85,405.34,High
1980,Australia,5776.81,0.96,2.68,1.56,14.41,377.49,24.47,372.62,Low
2008,UK,4972.67,1.08,2.98,0.78,56.38,1221.56,46.86,385.08,Low
1989,India,5205.23,1.17,5.21,3.32,58.92,588.57,20.49,447.62,Medium
2007,Brazil,3309.8,0.868,3.53,3.81,37.31,242.19,74.08,424.47,High
2010,UK,4372.65,1.342,4.31,4.81,16.03,815.69,87.82,417.06,High
1998,India,6893.13,1.152,5.45,2.33,45.47,1357.43,30.66,431.01,High
1982,Canada,5707.05,0.943,2.4,3.68,13.28,953.87,70.93,421.41,High
2015,India,5418.57,0.972,2.08,2.52,39.62,1021.52,49.19,395.18,Low
2022,Russia,3691.37,1.335,4.82,0.67,34.42,1325.89,74.64,395.9,Medium
1994,Brazil,3793.58,1.241,1.92,4.59,12.6,49.26,85.44,435.17,High
2012,China,3388.46,0.558,2.25,3.13,17.69,1300.92,28.98,373.76,Low
2020,UK,2247.25,1.375,3.88,0.15,16.92,1224.28,40.84,397.76,Medium
2022,Russia,4596.32,1.089,2.61,2.25,45.52,142.75,41.5,375.87,Low
2024,Pakistan,4415.68,0.873,3.61,1.15,48.17,1357.92,27.14,426.62,Low
2005,Pakistan,5277.21,0.734,3.86,4.44,14.95,7.6,66.51,378.8,High
1995,China,6553.68,0.929,1.23,2.37,27.52,863.29,87.69,392.88,High
2015,Brazil,4060.35,0.994,5.16,2.32,16.45,159.04,25.7,411.92,Medium
2012,Australia,6873.65,0.726,5.85,1.59,55.84,635.06,65.77,387.06,High
1999,Russia,5771.82,1.095,3.18,0.22,12.96,317.75,53.03,420.11,Low
1992,Canada,7132.94,0.645,4.19,1.41,30.15,258.01,62.38,407.58,High
2012,Australia,3291.07,0.269,6.01,2.78,22.03,1315.49,77.78,412.1,Medium
1984,UK,6759.34,1.02,3.65,1.63,56.81,1303.91,38.68,410.75,High
2016,Russia,3987.96,1.161,1.86,0.28,53.84,720.72,25.33,381.1,Low
1993,Brazil,3806.91,1.264,3.66,3.92,27.88,204.52,53.85,399.47,High
2006,China,4911.44,1.355,2.26,2.78,31.74,818.87,33.66,405.67,Medium
2002,Australia,3727.21,0.511,3.15,0.96,14.56,1254.52,43.27,439.47,Low
1993,Canada,5643.86,1.068,4.67,2.76,29.88,1084.21,50.04,425.14,Medium
2019,Brazil,6261.61,1.271,4.74,3.46,37.65,598.19,79.24,431.01,High
1983,USA,5740.82,1.018,1.81,3.29,28.55,47.44,65.0,406.61,Low
2018,Germany,4915.52,0.982,3.93,3.21,14.24,213.54,43.42,377.54,Medium
1998,Australia,6769.25,1.146,3.0,0.79,20.67,618.18,25.94,379.87,High
1983,Pakistan,5642.57,1.333,2.3,0.17,23.39,1352.94,86.99,430.74,Medium
2009,China,4782.23,1.005,3.6,0.76,48.52,683.4,20.12,384.39,Low
1998,India,4808.56,1.085,3.9,2.7,20.17,1362.99,68.49,401.43,Medium
2010,Pakistan,3673.65,0.793,4.7,2.85,44.55,493.02,20.23,381.71,Medium
2010,Pakistan,3553.89,0.759,3.9,3.35,25.68,453.82,54.33,404.75,Medium
1988,Australia,4317.6,0.545,3.07,2.26,15.55,1035.55,30.0,406.36,Low
1992,Brazil,3420.85,0.45,3.12,4.76,35.09,99.75,23.02,443.46,High
1993,Russia,3274.83,1.166,4.87,2.12,51.26,285.62,75.35,433.02,Medium
1989,Russia,3624.52,0.956,2.86,2.55,25.2,1019.7,47.68,393.46,Low
2010,Germany,6612.14,0.955,2.9,2.85,39.38,173.41,36.31,413.84,High
2016,China,3787.15,1.215,3.31,3.28,51.37,177.95,41.03,402.88,Medium
2002,Australia,6237.28,1.554,3.28,0.09,23.36,298.04,68.05,379.5,High
2006,Germany,4039.52,1.029,2.93,2.66,14.59,111.54,35.74,388.09,Low
1985,Germany,5284.08,0.64,4.65,4.01,21.24,1067.65,77.23,396.95,High
2005,Canada,3779.18,1.019,3.66,1.45,52.91,757.62,81.73,418.12,Low
1981,Brazil,5294.22,1.259,5.14,1.74,26.42,1125.1,45.86,389.6,Medium
2024,India,8416.38,0.477,5.07,2.49,18.86,271.46,65.74,373.23,High
1992,Germany,3953.29,1.356,3.93,1.75,35.22,911.11,47.84,390.06,Medium
1998,Germany,4559.48,0.725,3.08,0.88,40.9,1001.01,24.23,420.48,Low
1980,Pakistan,3218.67,1.426,1.8,3.14,33.12,421.04,79.9,383.72,Medium
2019,Australia,6649.22,0.958,2.62,4.77,26.2,231.34,82.91,463.48,High
2011,India,6888.59,0.717,4.96,2.0,34.61,1325.88,56.83,362.78,High
2001,Australia,3601.9,1.169,2.92,2.42,55.17,311.74,30.3,353.79,Low
2008,Brazil,4764.26,0.793,2.49,0.39,42.36,144.09,32.16,386.55,Low
1981,Germany,5631.08,0.297,4.58,1.87,31.57,1118.83,20.16,412.91,Medium
2019,China,5100.76,0.917,3.46,2.51,50.74,1149.16,65.11,400.02,Low
2017,Germany,3612.3,1.495,3.27,1.11,10.1,353.53,38.85,372.71,Medium
1990,Pakistan,3550.1,0.764,4.17,4.88,19.82,1282.8,31.2,450.65,High
1996,UK,3152.35,0.484,2.01,0.14,36.88,1195.25,37.84,434.35,Low
2022,Brazil,6536.67,0.679,2.91,4.33,42.78,674.96,20.76,400.91,High
1987,India,5995.22,0.824,4.64,2.97,34.63,591.04,50.72,376.75,Medium
2001,Pakistan,7502.56,1.453,3.74,1.87,42.53,75.44,72.33,384.93,High
1983,Australia,3487.92,0.475,4.1,1.68,40.57,619.05,83.75,431.89,Medium
1990,UK,5449.38,0.904,4.75,0.21,38.23,800.45,37.27,425.45,Medium
1987,USA,5204.17,0.603,4.43,1.01,17.23,8.35,88.25,393.05,Medium
1988,USA,5557.03,1.138,2.92,2.39,32.11,572.68,89.32,396.98,Low
2005,Pakistan,5914.42,1.319,3.41,4.24,31.98,847.86,52.33,410.54,High
1981,India,9795.79,1.125,1.3,4.01,21.44,268.8,66.62,469.38,High
1995,China,9737.35,1.051,5.05,2.8,54.74,779.55,51.39,393.39,High
2010,USA,5538.8,0.649,3.8,1.39,53.97,729.28,20.96,394.74,Low
1985,Germany,7422.3,0.869,2.26,1.92,25.11,90.24,31.64,387.28,High
2000,USA,3707.6,1.014,1.56,0.09,20.89,1137.94,28.68,420.96,Low
2005,Pakistan,4850.93,1.418,2.78,3.84,29.6,719.7,24.97,419.0,High
1998,Germany,3803.97,0.631,3.15,4.36,11.73,540.24,60.42,401.72,High
2007,Australia,5378.17,0.774,3.38,0.84,54.86,166.17,75.01,417.49,Low
1987,Brazil,5788.69,1.076,1.78,4.14,19.57,873.36,32.46,390.47,High
1993,Germany,8448.98,1.382,2.38,3.45,21.2,822.0,59.16,419.55,High
2003,Germany,3602.96,0.798,3.62,4.72,32.45,981.08,57.26,415.93,High
2023,Germany,6989.23,1.666,6.1,1.19,38.88,154.82,54.99,384.97,High
2016,India,4379.89,0.808,3.69,3.72,31.95,427.38,29.85,436.68,High
2005,Germany,4162.8,0.662,3.77,2.95,35.13,802.57,24.84,422.12,Low
2010,USA,4646.74,0.891,1.89,4.84,53.7,1383.94,26.55,471.24,High
2011,Brazil,7971.02,0.745,3.3,3.46,50.81,1161.94,82.99,438.31,High
2020,Australia,2058.45,1.045,1.83,2.39,10.55,279.83,30.85,379.55,Low
1981,UK,5678.34,1.247,3.16,3.45,34.15,498.9,30.23,427.1,Medium
2004,Australia,6689.11,1.226,5.29,4.98,46.85,227.39,29.83,401.66,High
2023,Australia,3549.27,1.233,2.57,3.97,44.87,718.39,47.63,431.69,High
1981,Australia,5799.79,0.891,3.5,4.71,27.87,281.28,43.33,464.89,High
2021,Russia,3914.95,1.027,2.25,4.82,44.18,338.45,20.73,461.19,High
1980,Pakistan,7944.25,0.537,3.9,4.03,41.67,815.76,51.66,396.07,High
2015,Pakistan,3066.67,0.689,3.01,1.07,23.02,242.63,67.58,400.5,Low
1991,India,5868.83,1.294,1.49,4.05,20.5,744.76,46.78,393.81,High
1988,China,4351.6,0.938,3.21,0.4,13.6,17.56,66.76,396.33,Low
2015,Pakistan,4790.58,0.984,5.36,1.92,31.8,772.34,39.36,422.63,Medium
2020,China,4566.62,1.11,3.85,4.89,35.89,932.61,65.97,454.86,High
2007,Germany,6665.16,0.358,3.57,2.55,11.96,53.83,46.16,427.34,High
2017,Australia,5292.39,1.091,2.73,2.65,30.09,208.99,40.12,388.12,Low
2012,Australia,2891.14,0.864,2.85,3.64,14.56,766.15,52.42,382.44,High
2021,UK,5572.18,1.237,4.99,1.49,13.76,133.3,80.38,401.8,Medium
2001,Russia,5422.67,0.967,3.07,0.22,24.36,245.06,49.65,398.18,Low
2004,Canada,6578.08,0.709,3.63,1.05,36.01,1259.51,55.18,361.07,High
1997,Australia,5522.67,0.923,3.83,3.93,40.54,389.43,47.13,422.17,High
1985,Australia,2737.92,0.632,2.01,1.83,38.21,645.43,51.01,452.58,Low
1997,Pakistan,6783.43,1.393,0.73,0.62,58.18,1192.06,76.26,399.44,High
1995,Russia,6731.78,1.111,2.04,3.17,21.31,952.38,76.73,385.71,High
1994,Russia,5804.21,1.327,1.7,2.6,32.28,48.62,84.15,397.02,Medium
1987,China,5455.22,1.263,4.8,2.24,35.05,124.77,64.36,422.41,Medium
1992,Canada,5581.37,0.769,2.23,1.16,20.36,423.15,20.03,379.64,Low
2022,Pakistan,6753.47,1.05,2.64,3.74,22.33,725.42,76.23,411.01,High
1986,USA,7062.82,1.109,3.88,2.79,42.47,1019.27,88.09,368.67,High
1996,Brazil,5820.77,1.209,2.63,4.92,52.92,713.09,43.17,418.69,High
2011,China,5974.15,1.209,4.28,4.31,30.58,821.83,66.83,411.24,High
2001,Pakistan,5320.66,0.863,5.8,1.19,39.48,1367.12,39.05,429.59,Medium
1992,Russia,8628.54,1.186,4.68,2.66,59.15,242.05,44.03,411.99,High
2002,UK,1962.43,1.104,4.2,2.65,48.85,1198.39,62.03,413.19,Medium
2008,Brazil,4030.33,0.734,2.6,0.74,15.58,1168.44,76.05,427.86,Low
2001,India,3828.37,0.817,3.06,4.06,59.97,513.24,56.76,428.71,High
1980,Brazil,8176.97,1.184,3.43,1.68,44.78,1214.49,31.94,377.97,High
2008,China,4695.68,0.974,4.68,0.71,17.94,843.12,79.99,399.62,Medium
1984,Australia,2024.05,0.973,3.35,1.21,21.64,781.66,87.22,393.27,Low
2014,Russia,3808.38,0.794,3.06,4.86,43.68,268.46,74.85,377.09,High
1989,UK,5862.44,1.316,4.98,2.82,52.0,268.05,81.61,368.55,Medium
1998,China,5075.44,1.399,4.45,0.1,36.02,519.43,22.77,404.11,Medium
2016,UK,4875.0,0.818,1.62,2.64,38.54,456.05,51.73,392.64,Low
1986,Russia,5335.8,1.245,3.99,4.89,19.79,1256.03,31.03,441.95,High
2014,Brazil,6741.67,1.192,2.77,0.46,40.65,69.33,63.5,451.34,High
2024,USA,6413.97,0.844,6.34,1.9,39.07,439.62,70.27,378.45,High
1992,China,3806.24,0.838,3.14,2.0,31.9,493.39,49.16,427.49,Low
1989,Australia,5473.25,1.21,3.69,0.76,12.7,388.31,70.87,391.11,Medium
1981,Pakistan,7355.56,0.484,4.47,2.13,43.08,19.45,84.89,416.6,High
1985,Canada,5353.23,0.362,4.91,0.54,35.94,681.03,81.8,405.37,Medium
1987,Germany,4142.62,1.377,3.98,3.47,34.3,430.44,47.05,414.15,Medium
2015,India,3310.04,1.015,3.97,4.64,58.23,750.07,56.57,413.24,High
2004,Russia,5382.31,1.13,4.5,2.07,38.86,782.54,42.83,371.66,Medium
2023,China,4707.34,1.738,3.38,4.88,56.57,1119.21,22.41,389.71,High
2019,Brazil,4680.57,1.068,3.2,2.78,44.34,277.2,54.93,401.02,Low
1986,Brazil,5346.21,1.131,4.21,0.17,19.75,1047.44,60.6,437.69,Medium
2002,UK,3988.01,0.937,4.11,0.83,37.83,273.45,27.43,413.38,Medium
1998,Pakistan,6938.45,0.868,3.47,0.51,47.34,801.5,58.3,433.32,High
2001,UK,4893.88,0.65,3.94,3.53,47.34,307.59,86.26,402.04,High
1992,India,7979.01,1.177,4.74,3.66,15.69,507.1,83.46,400.51,High
2000,Russia,6549.95,1.036,3.09,1.99,15.16,1263.39,72.05,405.31,High
1980,Australia,4886.09,0.716,1.52,4.15,11.14,326.4,55.5,402.04,High
1998,China,3081.6,1.292,2.83,4.39,42.47,1166.87,68.3,396.4,High
2012,UK,5994.4,0.847,4.19,1.31,29.76,294.7,20.84,434.78,Medium
1983,India,5709.41,1.033,3.15,4.26,49.79,410.2,20.84,408.51,High
2021,Germany,3949.53,1.172,3.15,4.03,53.69,1256.52,38.82,405.36,High
1982,India,3280.35,1.074,2.65,2.05,48.5,1093.25,87.48,362.26,Low
2006,Australia,4980.17,0.95,3.83,1.86,35.14,133.88,56.01,388.91,Medium
2020,Brazil,5351.12,0.603,4.11,4.89,35.13,353.68,37.6,396.18,High
2014,Brazil,5240.16,1.075,3.04,2.06,17.09,1043.49,58.19,430.52,Low
2007,China,5004.89,1.302,3.97,1.49,41.07,544.67,36.68,424.42,Medium
1985,Germany,6792.73,0.662,4.92,3.03,27.12,1144.57,81.64,404.75,High
1985,India,4046.69,0.605,2.5,4.37,13.9,215.41,29.0,436.27,High
2023,Brazil,7843.26,1.447,3.11,3.11,43.23,771.91,28.95,409.59,High
2002,UK,2499.95,0.708,3.42,4.44,42.27,560.21,33.27,436.32,High
2012,Russia,3907.19,0.837,3.09,4.01,11.66,353.09,71.62,412.78,High
1995,Brazil,3209.8,0.912,2.9,4.45,59.06,29.55,78.44,406.64,High
2003,India,5331.15,1.25,3.93,3.89,13.47,77.39,22.09,392.51,High
1984,Australia,5598.47,0.576,3.2,3.01,19.15,228.65,79.95,401.82,Low
2020,Russia,7630.11,0.918,4.54,0.28,45.32,1233.3,23.66,404.56,High
2021,USA,5321.0,0.656,3.37,1.8,48.17,464.07,75.71,400.61,Low
1992,Australia,6270.23,1.621,2.55,0.25,26.06,336.91,46.99,351.76,High
1991,Brazil,3367.38,0.82,3.61,4.6,41.6,1364.11,71.84,404.67,High
1984,Australia,2928.05,0.708,5.24,4.73,26.7,883.36,28.24,401.84,High
2016,Canada,6962.48,0.786,3.57,0.77,26.5,1252.7,78.68,431.58,High
2010,Canada,6412.24,0.945,3.73,3.12,56.41,1151.06,59.12,382.72,High
2007,Canada,5358.57,1.047,4.83,4.13,45.75,730.93,20.39,458.2,High
2007,USA,3685.84,1.214,2.26,0.4,35.87,855.3,68.12,418.73,Medium
2009,Russia,8646.15,0.762,3.8,4.84,21.34,605.33,84.19,420.79,High
1997,Canada,6243.21,0.773,3.05,3.05,25.4,1166.23,49.46,379.86,High
2023,Brazil,3962.98,0.38,1.98,1.83,55.74,701.87,25.0,374.85,Low
2006,Brazil,5079.2,0.676,3.29,2.81,37.67,1322.9,23.53,406.21,Low
2014,China,2812.12,0.815,3.54,2.83,37.27,911.22,45.67,447.24,Low
2005,UK,5182.68,1.463,1.37,0.59,27.76,1347.24,85.53,441.89,Medium
2018,Pakistan,4303.27,1.023,1.04,2.85,15.66,1371.04,57.39,435.92,Low
1997,India,8581.02,0.896,2.57,3.35,35.35,363.03,77.74,429.83,High
2012,USA,6142.89,1.461,3.81,1.15,57.08,300.44,88.18,402.82,High
2004,Australia,1206.53,0.921,3.23,0.14,43.49,10.92,78.07,421.35,Low
2010,UK,7760.95,0.748,5.11,2.54,27.71,1136.86,35.46,393.75,High
2016,Australia,5605.56,0.757,3.25,0.42,50.19,800.82,25.79,425.36,Low
1981,Australia,7310.06,0.667,3.19,1.31,54.67,703.49,40.78,390.4,High
2012,Pakistan,5416.64,0.76,3.47,2.44,24.4,742.67,73.88,381.9,Low
2018,Germany,5227.99,1.016,4.23,0.24,25.36,124.16,53.38,417.55,Medium
2022,Pakistan,3748.02,0.942,2.63,4.58,42.96,779.5,69.16,431.95,High
2022,USA,5980.08,1.314,4.01,1.81,36.3,1127.83,32.65,398.16,Medium
2011,Germany,6633.56,1.101,3.99,2.28,29.79,809.11,86.59,403.18,High
1997,Canada,2370.25,1.296,2.7,2.79,20.12,136.64,63.83,435.2,Medium
1996,USA,3770.22,1.415,4.5,2.56,24.6,36.78,63.99,435.08,Medium
2013,Russia,3152.64,1.23,4.2,1.07,23.84,65.89,87.62,430.16,Medium
2018,Brazil,7677.4,0.744,4.64,0.73,13.37,230.54,27.65,411.67,High
1986,Canada,6681.16,0.946,4.14,0.89,13.1,1322.33,56.91,398.69,High
2021,India,4460.81,1.34,4.9,1.85,36.48,1016.15,80.99,435.17,Medium
2014,Germany,6613.39,1.442,4.07,3.56,46.41,137.68,42.32,409.73,High
2009,Brazil,2947.76,1.063,1.54,3.33,21.05,58.23,29.64,440.25,Low
1991,China,5456.91,1.61,1.2,3.04,49.63,1094.39,67.42,384.69,Medium
2014,China,6401.19,0.874,3.65,0.83,59.73,508.88,65.81,386.43,High
1990,Germany,4188.98,1.123,4.72,0.47,49.88,1374.13,22.28,344.98,Medium
2023,Germany,4987.41,0.585,1.83,0.9,28.51,1079.82,79.5,420.41,Low
1983,USA,5754.56,1.051,3.66,3.98,49.7,604.24,85.94,434.42,High
2004,UK,6730.78,1.225,4.57,3.95,32.53,34.22,88.59,386.84,High
2011,Russia,2711.59,1.404,2.18,3.4,25.17,236.87,80.43,423.69,Medium
1999,Russia,4743.87,0.182,3.11,4.5,27.58,1082.69,21.04,355.5,High
2010,China,3620.92,0.567,3.79,0.24,43.29,1037.56,72.29,445.55,Low
1983,Germany,5820.99,0.86,1.95,3.25,12.07,321.44,33.87,388.37,Low
2017,Germany,4539.01,0.316,4.66,4.13,52.92,545.3,67.84,375.41,High
1980,Brazil,6221.99,1.06,3.46,2.6,41.71,635.82,43.91,473.38,High
1982,Brazil,2985.42,1.522,3.19,2.06,55.79,555.71,74.63,428.26,Medium
2016,Australia,4289.09,0.908,1.58,3.41,41.48,309.59,66.13,416.74,Low
2001,Pakistan,8005.44,1.259,3.53,3.55,48.45,109.9,20.44,385.6,High
1996,Canada,4694.59,1.006,2.29,3.39,42.94,1392.52,48.52,408.56,Low
1993,USA,6622.83,0.75,4.5,4.8,40.5,518.4,32.44,349.62,High
2020,Russia,3414.29,0.65,3.65,4.84,50.76,517.66,28.06,365.98,High
2014,India,2769.28,1.206,1.95,3.15,25.04,1331.68,43.71,439.75,Medium
1992,Brazil,7107.84,1.202,2.17,4.83,10.37,596.21,69.61,426.13,High
2014,Canada,6208.82,1.018,3.23,4.64,32.62,52.87,36.47,472.81,High
2022,Australia,4373.74,1.066,3.97,1.14,37.03,1029.4,28.52,385.26,Medium
1981,Australia,7451.2,1.559,4.16,3.65,36.65,598.4,29.16,377.38,High
1992,USA,4068.28,1.464,1.6,1.61,10.71,156.27,55.39,426.63,Medium
1995,China,3715.37,0.613,2.94,3.99,38.8,1030.34,88.15,377.88,High
1997,Australia,5023.19,0.533,2.17,1.5,34.77,120.31,50.36,415.17,Low
1986,China,4594.24,1.207,4.42,1.15,41.86,236.19,83.09,417.16,Medium
2024,USA,3260.28,0.53,3.18,4.86,59.75,952.48,71.06,411.31,High
2015,Pakistan,4823.91,1.123,2.51,1.36,21.31,542.93,42.28,439.06,Low
2020,India,5378.36,1.313,4.94,3.51,11.5,483.82,65.31,406.51,High
2009,USA,6244.91,0.781,4.06,0.28,58.89,938.88,20.26,389.43,High
2021,Pakistan,8987.52,0.986,3.24,2.5,45.5,871.82,84.35,402.34,High
2020,Germany,6836.79,1.192,2.68,2.58,22.68,791.84,44.42,415.47,High
1986,Germany,3410.94,0.86,0.94,3.77,58.95,327.08,57.95,392.18,High
1994,Germany,9084.2,1.275,2.92,3.42,14.84,90.65,39.44,441.91,High
2019,Canada,5076.29,0.926,3.0,3.18,25.79,67.2,21.18,401.79,Low
1998,Canada,5497.82,1.134,4.54,1.42,30.18,889.45,41.42,387.89,Medium
2022,China,3981.09,0.546,1.9,2.17,32.09,505.63,45.68,437.57,Low
2016,Russia,4986.74,1.019,3.72,2.98,30.2,1071.14,60.04,412.09,Low
1981,Canada,4962.55,1.155,4.04,1.97,28.72,640.84,38.4,411.36,Medium
2021,Australia,6021.0,0.804,2.89,4.41,24.83,554.18,55.78,382.36,High
1992,Brazil,6361.92,0.789,3.27,4.56,42.65,1230.58,78.52,374.99,High
2019,Germany,4430.98,1.305,3.78,2.55,54.95,481.67,57.19,438.07,Medium
2020,Australia,6788.41,1.208,3.15,0.59,47.67,1196.99,47.98,381.88,High
2022,UK,4181.81,1.046,5.56,1.21,20.19,1193.5,34.55,439.94,Medium
2022,Brazil,6674.74,1.172,4.6,4.72,11.41,287.76,53.08,441.13,High
2010,China,4013.75,0.509,3.72,3.99,34.62,561.16,70.11,407.69,High
1995,Canada,3299.86,1.019,3.29,3.62,48.61,673.55,70.91,393.81,High
2021,China,4553.57,0.739,4.17,1.88,54.79,1151.54,25.74,397.4,Medium
2023,Canada,4630.08,0.989,3.23,1.76,27.66,144.59,45.32,402.78,Low
1985,Canada,3522.86,0.549,2.01,2.79,33.39,466.84,40.76,407.2,Low
2007,USA,4431.09,1.175,3.91,2.82,12.27,279.1,44.1,385.67,Medium
2011,Pakistan,4186.99,0.67,2.89,3.02,19.5,940.73,63.83,434.21,Low
2023,Pakistan,5004.08,1.785,3.63,2.87,47.13,376.84,26.74,381.63,Medium
1989,India,5821.18,0.975,2.89,1.59,25.41,40.34,89.0,386.08,Low
1997,India,4876.87,0.85,2.25,0.9,36.07,159.86,29.74,432.89,Low
1983,UK,3598.58,0.947,5.67,4.85,26.29,1286.01,68.08,395.43,High
1988,India,4454.08,0.485,2.33,0.46,20.36,1375.54,20.19,387.65,Low
1986,Russia,6486.82,0.964,3.8,4.09,52.31,32.16,29.18,387.34,High
1987,Australia,4005.63,1.27,4.47,0.98,40.98,310.57,57.53,444.4,Medium
2022,UK,3558.03,1.139,3.76,4.77,31.22,515.39,68.33,384.22,High
